iter	Passed	Remaining
0	28	2868
1	57	2830
2	86	2788
3	112	2705
4	121	2305
5	148	2328
6	174	2318
7	202	2327
8	229	2320
9	256	2309
10	283	2295
11	309	2271
12	336	2251
13	365	2243
14	392	2222
15	424	2230
16	454	2217
17	482	2198
18	510	2178
19	539	2158
20	568	2136
21	595	2110
22	612	2049
23	640	2027
24	666	2000
25	694	1976
26	721	1949
27	748	1923
28	775	1897
29	803	1874
30	829	1847
31	857	1821
32	884	1795
33	910	1768
34	937	1741
35	970	1726
36	1000	1703
37	1028	1678
38	1056	1652
39	1083	1624
40	1111	1598
41	1137	1570
42	1165	1545
43	1192	1517
44	1217	1488
45	1244	1460
46	1270	1433
47	1297	1405
48	1325	1379
49	1353	1353
50	1381	1326
51	1409	1300
52	1435	1273
53	1462	1246
54	1492	1220
55	1519	1194
56	1546	1166
57	1574	1140
58	1602	1113
59	1630	1086
60	1659	1060
61	1687	1034
62	1715	1007
63	1742	980
64	1770	953
65	1798	926
66	1825	899
67	1853	872
68	1879	844
69	1907	817
70	1935	790
71	1961	762
72	1988	735
73	2015	708
74	2045	681
75	2073	654
76	2101	627
77	2129	600
78	2156	573
79	2196	549
80	2225	521
81	2252	494
82	2281	467
83	2308	439
84	2335	412
85	2363	384
86	2390	357
87	2417	329
88	2443	302
89	2473	274
90	2501	247
91	2531	220
92	2558	192
93	2587	165
94	2614	137
95	2644	110
96	2671	82
97	2699	55
98	2726	27
99	2753	0
